"Jahr";"StaeNichtStaeBev_CD";"StaeNichtStaeBev";"Auslaendergruppe_CD";"Auslaendergruppe";"Sektor_CD";"Sektor";"Geschlecht_CD";"Geschlecht";"Arbeitskanton_CD";"Arbeitskanton";"Nation_CD";"Nation";"Kontinent_CD";"Kontinent";"EuropaDrittstaat_CD";"EuropaDrittstaat";"AnzahlPersonen"
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";212;"Frankreich";1;"Europa";1;"EU";1
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";215;"Vereinigtes Königreich";1;"Europa";3;"Drittstaaten";1
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";230;"Polen";1;"Europa";1;"EU";7
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";231;"Portugal";1;"Europa";1;"EU";3
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";232;"Rumänien";1;"Europa";1;"EU";5
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";240;"Ungarn";1;"Europa";1;"EU";3
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";243;"Slowakische Republik";1;"Europa";1;"EU";3
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";244;"Tschechische Republik";1;"Europa";1;"EU";1
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";264;"Russland";1;"Europa";3;"Drittstaaten";1
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";265;"Ukraine";1;"Europa";3;"Drittstaaten";4
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";406;"Brasilien";3;"Amerika";3;"Drittstaaten";1
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";215;"Vereinigtes Königreich";1;"Europa";3;"Drittstaaten";1
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";230;"Polen";1;"Europa";1;"EU";15
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";232;"Rumänien";1;"Europa";1;"EU";2
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";240;"Ungarn";1;"Europa";1;"EU";2
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";243;"Slowakische Republik";1;"Europa";1;"EU";1
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";248;"Serbien";1;"Europa";3;"Drittstaaten";1
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";265;"Ukraine";1;"Europa";3;"Drittstaaten";1
2021;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";406;"Brasilien";3;"Amerika";3;"Drittstaaten";1
